agent,seed,episode,total_reward,avg_reward,switches,churn_rate,mean_dissonance,mean_drift
InstantObs,0,0,22.88517275985827,0.09154069103943309,185,0.7429718875502008,0.0,0.0
InstantObs,0,1,-18.148701321248954,-0.07259480528499582,203,0.8152610441767069,0.0,0.0
InstantObs,0,2,21.20583011690358,0.08482332046761433,190,0.7630522088353414,0.0,0.0
InstantObs,0,3,7.947655326033384,0.031790621304133536,184,0.7389558232931727,0.0,0.0
InstantObs,0,4,21.579919556254723,0.08631967822501889,190,0.7630522088353414,0.0,0.0
InstantObs,0,5,19.007013833939432,0.07602805533575772,187,0.751004016064257,0.0,0.0
InstantObs,0,6,-16.952066154462557,-0.06780826461785022,207,0.8313253012048193,0.0,0.0
InstantObs,0,7,5.779571316645695,0.023118285266582782,196,0.7871485943775101,0.0,0.0
InstantObs,0,8,40.76925139459011,0.16307700557836044,161,0.6465863453815262,0.0,0.0
InstantObs,0,9,5.105392841112737,0.020421571364450948,198,0.7951807228915663,0.0,0.0
InstantObs,0,10,3.0898834191876148,0.012359533676750458,193,0.7751004016064257,0.0,0.0
InstantObs,0,11,29.30361984021424,0.11721447936085695,179,0.7188755020080321,0.0,0.0
InstantObs,0,12,23.605303278439216,0.09442121311375687,171,0.6867469879518072,0.0,0.0
InstantObs,0,13,57.229801385097645,0.22891920554039058,164,0.6586345381526104,0.0,0.0
InstantObs,0,14,16.447981082225837,0.06579192432890335,187,0.751004016064257,0.0,0.0
InstantObs,0,15,2.3742656344642548,0.00949706253785702,188,0.7550200803212851,0.0,0.0
InstantObs,0,16,19.5782555882493,0.0783130223529972,192,0.7710843373493976,0.0,0.0
InstantObs,0,17,26.653296846027047,0.10661318738410819,187,0.751004016064257,0.0,0.0
InstantObs,0,18,13.57889845118427,0.05431559380473708,187,0.751004016064257,0.0,0.0
InstantObs,0,19,28.520424444247748,0.114081697776991,170,0.6827309236947792,0.0,0.0
InstantObs,0,20,16.71326727809617,0.06685306911238467,195,0.7831325301204819,0.0,0.0
InstantObs,0,21,55.42116509592549,0.22168466038370196,155,0.6224899598393574,0.0,0.0
InstantObs,0,22,4.97266657833649,0.01989066631334596,179,0.7188755020080321,0.0,0.0
InstantObs,0,23,16.413166354834704,0.06565266541933881,192,0.7710843373493976,0.0,0.0
InstantObs,0,24,-19.31112451627895,-0.07724449806511581,202,0.8112449799196787,0.0,0.0
InstantObs,0,25,24.886483014084178,0.09954593205633672,162,0.6506024096385542,0.0,0.0
InstantObs,0,26,60.24965798051477,0.2409986319220591,161,0.6465863453815262,0.0,0.0
InstantObs,0,27,27.12004124340448,0.10848016497361791,187,0.751004016064257,0.0,0.0
InstantObs,0,28,-15.786365389794954,-0.06314546155917981,192,0.7710843373493976,0.0,0.0
InstantObs,0,29,40.53655007494193,0.1621462002997677,170,0.6827309236947792,0.0,0.0
InstantObs,0,30,35.13991346316895,0.1405596538526758,176,0.7068273092369478,0.0,0.0
InstantObs,0,31,23.179994264149297,0.0927199770565972,182,0.7309236947791165,0.0,0.0
InstantObs,0,32,26.7445517156997,0.1069782068627988,175,0.7028112449799196,0.0,0.0
InstantObs,0,33,32.85839705209413,0.13143358820837653,188,0.7550200803212851,0.0,0.0
InstantObs,0,34,-5.812308815033031,-0.023249235260132124,194,0.7791164658634538,0.0,0.0
InstantObs,0,35,44.449558390192536,0.17779823356077015,158,0.6345381526104418,0.0,0.0
InstantObs,0,36,-2.540794709208714,-0.010163178836834857,196,0.7871485943775101,0.0,0.0
InstantObs,0,37,30.014130054712115,0.12005652021884847,169,0.678714859437751,0.0,0.0
InstantObs,0,38,4.793132077153257,0.01917252830861303,206,0.8273092369477911,0.0,0.0
InstantObs,0,39,14.77460286590799,0.05909841146363196,193,0.7751004016064257,0.0,0.0
InstantObs,0,40,24.342523133251643,0.09737009253300657,189,0.7590361445783133,0.0,0.0
InstantObs,0,41,13.495652428261664,0.05398260971304666,190,0.7630522088353414,0.0,0.0
InstantObs,0,42,21.154503144071274,0.0846180125762851,187,0.751004016064257,0.0,0.0
InstantObs,0,43,41.660134137814346,0.16664053655125738,185,0.7429718875502008,0.0,0.0
InstantObs,0,44,19.4736339575646,0.0778945358302584,201,0.8072289156626506,0.0,0.0
InstantObs,0,45,18.044095135998475,0.0721763805439939,172,0.6907630522088354,0.0,0.0
InstantObs,0,46,25.26989339908068,0.10107957359632272,195,0.7831325301204819,0.0,0.0
InstantObs,0,47,25.692640244382524,0.1027705609775301,179,0.7188755020080321,0.0,0.0
InstantObs,0,48,-4.974527402502664,-0.019898109610010657,197,0.7911646586345381,0.0,0.0
InstantObs,0,49,4.043621079744525,0.0161744843189781,202,0.8112449799196787,0.0,0.0
InstantObs,0,50,14.950685158751106,0.059802740635004424,193,0.7751004016064257,0.0,0.0
InstantObs,0,51,25.533402943479004,0.10213361177391601,192,0.7710843373493976,0.0,0.0
InstantObs,0,52,33.33257880556719,0.13333031522226876,184,0.7389558232931727,0.0,0.0
InstantObs,0,53,2.08268756856509,0.00833075027426036,196,0.7871485943775101,0.0,0.0
InstantObs,0,54,24.031970777905713,0.09612788311162285,179,0.7188755020080321,0.0,0.0
InstantObs,0,55,35.43474874026952,0.14173899496107809,170,0.6827309236947792,0.0,0.0
InstantObs,0,56,18.123466827979133,0.07249386731191654,188,0.7550200803212851,0.0,0.0
InstantObs,0,57,22.603362966715586,0.09041345186686235,194,0.7791164658634538,0.0,0.0
